6210	64
6240	63
6290	62
6360	61
6370	60
6480	59
6560	58
6570	57
6580	56
6750	55
6780	54
6810	53
6860	52
6950	51
6960	50
7010	49
7380	48
7390	47
7520	46
7710	45
7720	44
7750	43
7760	42
7960	41
7990	40
8100	39
8140	38
8280	37
8360	36
8710	35
8782.5  34
8790	33
8880	32
8940	31
8970	30
9390	29
9400	28
9520	27
9750	26
9753  25
9760	24
9800	23
9990	22
10100	21
10400	20
11910	19
11920	18
12550	17
17380	16
18300	15
18920	14
19310	13
19790	12
19990	11
20760	10
22290	9
23630	8
24890	7
25190	6
29270	5
35000	4
