2000	4390	10490	35000
1950	4030	10100	29270
1900	3680	9800	25190
1850	3440	9753	24890
1800	2990	8980	23630
1700	2840	8790	22290
1675	2730	8782.5	20760
1665	2690	8780	19990
1650	2670	7980	19790
1602	2660	7710	19310
1599	2540	7520	18920
1598	2450	7010	18300
1597	2440	6750	17380
1575	2380	6480	12550
1560	2370	6370	11920
1547.5	2290	6300	11910
1547	2260	6210	10400
1487	2240	6010	10100
1394	2210	5660	9990
1391	2190	5600	9800
1363	2160	5570	9760
1309	2150	5430	9753
1286	2070	5180	9750
1207	2050	5150	9520
1149	2045	5080	9400
1124	2040	5060	9390
1082	1950	4880	8970
980	1942	4760	8940
973	1940	4680	8880
943	1890	4580	8790
922	1880	4540	8782.5
893	1870	4370	8710
892	1850	4360	8360
882	1830	4300	8280
874	1820	4260	8140
863	1810	4255	8100
862	1724.6	4250	7990
838.6	1723	4249	7960
837	1720	4240	7760
817	1700	4235	7750
811	1694	4210	7720
808	1690	4100	7710
807	1670	4020	7520
763	1650	4012.3	7390
753	1637	3980	7380
747	1630	3960	7010
739	1605	3950	6960
735	1600	3930	6950
705	1597.5	3920	6860
703	1590	3840	6810
673	1570	3680	6780
662	1560	3580	6750
652	1547.5	3540	6580
651.8	1540	3520	6570
651	1510	3500	6560
618	1480	3440	6480
597	1475	3250	6370
594	1470	3240	6360
587	1450	3220	6290
584	1445	3210	6240
574.75	1440	3190	6210
